NAME,SUM of PPG,SUM of APG,SUM of RPG,,
A.J. Lawson,1.1,0,0.4,1.5,
Aaron Gordon,14.3,4.4,7.3,26,
Aaron Nesmith,10.5,2.2,4.9,17.6,
Aaron Wiggins,6.2,1,3.2,10.4,
AJ Green,2.8,0.3,1.5,4.6,
Al Horford,9.5,2,7.1,18.6,50.8
Alec Burks,14.8,1,3.3,19.1,
Amir Coffey,2.8,0.3,1.7,4.8,
Andre Jackson Jr.,2.4,2,2.2,6.6,
Andrew Nembhard,14.9,5.5,3.3,23.7,
Anthony Black,3,1,1,5,
Anthony Davis,27.8,4,15.6,47.4,
Anthony Edwards,27.6,6.5,7,41.1,
Austin Reaves,16.8,3.6,3.8,24.2,
Bam Adebayo,22.6,3.8,9.4,35.8,
Ben Sheppard,5.2,1,3,9.2,
Bobby Portis,16.5,1,11.3,28.8,
Bojan Bogdanovic,6,1,3,10,
Bol Bol,0.7,0,1.3,2,
Bones Hyland,3.7,1.3,0.7,5.7,
Bradley Beal,16.5,4.5,2.8,23.8,
Brandon Boston Jr.,1.7,0.3,0.7,2.7,
Brandon Ingram,14.3,3.3,4.5,22.1,
Brook Lopez,17.7,1.8,4.3,23.8,
Buddy Hield,5.5,0.5,1.3,7.3,
Caleb Houstan,1,0,0.7,1.7,
Caleb Martin,11.6,1.4,3.6,16.6,
Cameron Payne,5.6,1.4,1.2,8.2,
Caris LeVert,10.1,2.3,3.6,16,
Cason Wallace,4.2,1,1.3,6.5,
Chet Holmgren,15.6,2.1,7.2,24.9,
Chris Livingston,1,0,0,1,
Christian Braun,5.1,0.8,2.7,8.6,
Chuma Okeke,3,0.5,0,3.5,
CJ McCollum,17.8,4.8,4.8,27.4,
Cole Anthony,5.1,1.3,2.1,8.5,
D'Angelo Russell,14.2,4.2,2.8,21.2,
Damian Jones,0,1,1,2,
Damian Lillard,31.3,5,3.3,39.6,
Daniel Gafford,9.2,0.8,5.8,15.8,
Daniel Theis,3,0,1,4,
Danilo Gallinari,3.7,0.7,3,7.4,
Dante Exum,1.5,0.6,0.8,2.9,
DaQuan Jeffries,2,0,1,3,
Darius Garland,15.7,5.8,3.6,25.1,
David Roddy,0,0,0,0,
De'Anthony Melton,0,1,1,2,
Dean Wade,3.7,1.7,2,7.4,
DeAndre Jordan,2,0,1.5,3.5,
Delon Wright,8,1.8,3,12.8,
Dereck Lively II,8,1.4,7.4,16.8,
Derrick Jones Jr.,9.3,1.4,3.7,14.4,
Derrick White,17.5,4.4,4.1,26,
Devin Booker,27.5,6,3.3,36.8,
Donovan Mitchell,29.6,4.7,5.4,39.7,
Donte DiVincenzo,17.8,2.6,4,24.4,
Doug McDermott,1.3,0.7,0.3,2.3,
Drew Eubanks,5.7,0,1.3,7,
Duncan Robinson,2.6,1.2,1,4.8,
Dwight Powell,0.5,0.1,0.7,1.3,
Dyson Daniels,1.3,0,0.7,2,
E.J. Liddell,0,0,1,1,
Eric Gordon,8,1.3,1.8,11.1,
Evan Mobley,16,2.3,9.3,27.6,
Franz Wagner,18.9,4.4,6.9,30.2,
Gabe Vincent,1.4,0.6,1.6,3.6,
Gary Harris,4.2,0.7,2,6.9,
Georges Niang,2.8,0.4,1.2,4.4,
Goga Bitadze,0,1,1.5,2.5,
Gordon Hayward,0,0.4,1.9,2.3,
Grayson Allen,3.5,1,4,8.5,
Haywood Highsmith,4.8,1.6,2.8,9.2,
Herbert Jones,13,2.5,5,20.5,
Hunter Tyson,0.3,0.3,1,1.6,
Isaac Okoro,5.5,1.1,1.8,8.4,
Isaiah Hartenstein,8.5,3.5,7.8,19.8,
Isaiah Jackson,3.8,0.5,3.2,7.5,
Isaiah Joe,6.4,1,2.2,9.6,
Isaiah Thomas,0,0,0,0,
Ivica Zubac,16.2,1,9.3,26.5,
Jaden Hardy,4.2,0.8,0.7,5.7,
Jaden McDaniels,12.2,1.1,3.8,17.1,
Jaden Springer,1.3,0.3,0.3,1.9,
Jae Crowder,2.3,0.5,1.5,4.3,
Jaime Jaquez Jr.,12.8,3,3.3,19.1,
Jalen Brunson,32.4,7.5,3.3,43.2,
Jalen Pickett,1.3,0.3,0.3,1.9,
Jalen Smith,1.9,0.3,2,4.2,
Jalen Suggs,14.7,3.3,5.1,23.1,
Jalen Williams,18.7,5.4,6.8,30.9,
Jamal Murray,20.6,5.6,4.3,30.5,
James Harden,21.2,8,4.5,33.7,
James Johnson,1,0,0,1,
Jarace Walker,0.9,0.4,0.4,1.7,
Jarrett Allen,17,1.3,13.8,32.1,
Jaxson Hayes,0.3,0.3,3,3.6,
Jaylen Brown,24.9,3.2,6.1,34.2,
Jaylin Williams,4.4,1.5,3.2,9.1,
Jayson Tatum,25.2,6.2,10.1,41.5,
Jeremiah Robinson-Earl,2,1,1,4,
Jericho Sims,1.4,0.2,1.6,3.2,
Jett Howard,2.5,0.5,0.5,3.5,
Joe Ingles,1.6,1.7,1.9,5.2,
Joel Embiid,33,5.7,10.8,49.5,
Jonas Valanciunas,14.5,1.3,11,26.8,
Jonathan Isaac,6.3,0.4,4.9,11.6,
Jordan Hawkins,0,0,0.7,0.7,
Jordan McLaughlin,0.7,0.3,0.7,1.7,
Jordan Walsh,1,0,0.5,1.5,
Jose Alvarado,1.8,2.3,1,5.1,
Josh Giddey,8.7,2.1,3.6,14.4,
Josh Green,4.6,1.1,2.5,8.2,
Josh Hart,14.5,4.5,11.5,30.5,
Josh Minott,1.2,0.6,1,2.8,
Josh Okogie,3.5,0.5,1,5,
Jrue Holiday,13.2,4.5,5.9,23.6,
Julian Strawther,2.3,0,0.7,3,
Justin Holiday,2.9,0.3,1.7,4.9,
Jusuf Nurkic,7.8,2.8,8.3,18.9,
Karl-Anthony Towns,19.1,2.6,9,30.7,
Kawhi Leonard,12,2,8,22,
Kelly Oubre Jr.,13.2,1.7,4,18.9,
Kendall Brown,0.6,0.3,0.4,1.3,
Kenrich Williams,0.6,0.4,1.1,2.1,
Kentavious Caldwell-Pope,8.1,2.6,2.9,13.6,
Kevin Durant,26.8,3.3,6.5,36.6,
Kevin Love,1.8,0.8,2.8,5.4,
Khris Middleton,24.7,4.7,9.2,38.6,
Kobe Brown,0,0,0.7,0.7,
Kristaps Porzingis,13.5,1.3,5,19.8,
Kyle Anderson,4.3,2.5,2.7,9.5,
Kyle Lowry,7,4,3.5,14.5,
Kyrie Irving,22.6,4.9,3.7,31.2,
Larry Nance Jr.,6.3,1.8,8.3,16.4,
LeBron James,27.8,8.8,6.8,43.4,
Leonard Miller,0,0,1.3,1.3,
